"name","hh_inc","pc_inc","age","pop2000","area","density","col","pop2014","popchange","hh_size","h_price","vcrime","pcrime","lat","long"
"Altoona",27143,16939,40,88,0.5,176,87,223,43,3.01,88600,39.6,35.8,28.9658,-81.6483
"Apopka ",43651,19189,33,41542,33.2,1330,96,41908,39.9,2.83,142200,64.5,52.4,28.6761,-81.5106
"Bithlo",34530,13867,34,8268,10.9,760,111,8712,115.6,3.19,220200,48.4,35.3,28.55,-81.1
"Campbell ",26373,18721,67,2479,1.9,2479,84,2760,30,1.83,70100,46,54.5,28.2606,-81.4503
"Celebration",74231,39521,37,7427,10.7,690,133,7568,177.2,2.5,329900,53.1,68.3,28.32,-81.5403
"Christmas ",39795.7755102041,20228.1666666667,41,1146,3.4,330,87,2774,324.8,3.35,95700,48.5,36.4,28.5333,-81
"Chuluota ",42105,16641,34,2483,2.2,1100,101,2086,42.7,2.57,167700,36.5,32.4,28.6414,-81.1244
"Clermont",39290,21099,45,29358,11.5,2600,102,28302,112.9,2.66,170900,66.6,75.2,28.5475,-81.7494
"Davenport",29408,15544,46,44855,1.7,1132,88,2901,19.8,3.05,96400,40.8,43.9,28.1606,-81.6028
"Debary ",43364,23283,45,19320,21.8,1019,98,19246,27.6,2.46,157900,24.6,21.5,28.8814,-81.3242
"Deland ",28712,15936,38,27031,18.7,1536,89,27013,17,2.5,107800,62.4,62.2,29.0225,-81.2864
"DeLeon Springs",27422,12280,31,2614,2.6,1000,89,3943,63,4.61,105700,44.1,31.8,29.1203,-81.3531
"Deltona ",50058,34478,40.0425531914894,85182,41.1,2267,85,84973,24.3,2.98,85900,41.7,30.4,28.905,-81.2111
"Eustis",32032,18706,42,15106,9.7,1600,93.6,18727,9.6,2.54,125300,44.8,50.8,28.8511,-81.6819
"Ferndale",54271,18206,36,233,2.8,83.2,112,225,-24.8,1.68,222600,41.1,40.3,28.6194,-81.7031
"Four Corners",44855,20565,37,26116,50.1,520,96,27164,129.1,2.7,136800,72.9,78.6,28.3336,-81.6425
"Fruitland Park",40403,16400,36,3186,3.7,860,93,4108,5.7,3.05,123100,58.2,50.3,28.8586,-81.9131
"Geneva ",28417,22776,40.0425531914894,2940,12.4,240,117,2482,-0.3,2.87,252700,24.1,11.3,28.7372,-81.1178
"Groveland",32017,15132,35,8729,3,2900,93,8678,89,3.18,120900,47.7,36.3,28.5578,-81.8519
"Haines City",27636,13818,35,21490,8.9,2592,88,20531,29.1,2.95,97100,66,57.9,28.1117,-81.6286
"Howey-in-the-hills",49327,23273,25,956,1.9,500,101.1,1126,17.8,2.17,165000,29.8,33.4,28.7161,-81.7744
"Lady Lake ",32581,21337,68,11828,6.7,1765,103,14043,19.3,2,175400,51.9,40,28.9292,-81.9308
"Lake Hart ",50625,44665,42,542,1.9,290,161,438,409.3,1.79,484500,21.7,36.7,28.3889,-81.2292
"Lake Helen ",34577,17158,43,2624,4.6,580,87,2638,-1.9,2.6,97600,37,30.8,28.9833,-81.2328
"Lake Mary ",83921,31094,38,13822,9.7,1425,114,13917,11.1,2.83,238600,38.8,38.3,28.7575,-81.3292
"Leesburg ",25988,15762,42,19086,24.5,651,84,20463,7.6,2.27,73600,75.1,61.3,28.8106,-81.8833
"Longwood ",58846,21714,38,13657,5.6,2349,109,13796,-1.6,2.87,209600,62.8,56.3,28.7019,-81.345
"Loughman",31455,14205,38,1385,3.7,374,99,2380,110.3,2.58,157600,71.9,87,28.2418,-81.567
"Mascotte",38558,12346,28,5251,2.8,960,85,5067,63.7,3.68,78000,50.6,25.9,28.5764,-81.8883
"Mims ",35216,17433,41,7058,22.4,320,96,7488,12.6,2.55,140300,37.4,27.8,28.6686,-80.8481
"Minneola",46250,20721,33,5435,3.3,1647,98,9434,105.5,3.02,150000,55,30.9,28.5781,-81.7469
"Montverde",45341,20504,41,882,1.8,490,114,1550,41.7,3.18,231400,27.2,27.3,28.5994,-81.6761
"Mount Dora",37364,21724,46,12534,5.7,1542,97.2,12445,9.4,2.34,144400,61.1,53.1,28.8064,-81.6431
"Oakland",10092,39802,39,2538,2.1,1200,117,2510,117.1,3.01,252300,36.1,22.4,28.5544,-81.6311
"Ocoee",53225,20896,33,35579,15.7,2300,98,36072,33.1,3.11,149600,59.3,53.9,28.5742,-81.5306
"Orange City ",26883,16318,49,10599,7.2,1498,83,10653,11.3,2.08,75800,54.6,66.1,28.9261,-81.2869
"Oviedo ",77489,23831,33,33342,15.4,2192,113,33726,30.7,3.34,229200,46.4,31.7,28.6597,-81.1958
"Paisley ",29000,12798,43,734,3.4,216,86,884,31,3.54,84400,39.9,30.3,28.9875,-81.5369
"Pine Lakes ",28333,11232,36,755,1.8,419,83,514,-27.5,2.86,69700,72,48.5,28.9397,-81.4292
"Poinciana ",37172,12590,40.0425531914894,53193,35.3,1500,90,54442,198.2,3.17,103000,54.6,43.9,28.1558,-81.4764
"Polk City",32083,14108,34,1516,0.8,1895,94,2266,24.1,3.03,129100,46.1,43.8,28.18,-81.8264
"Silver Lake ",55347,27258,46,1882,3,627,101,1785,14.9,2.24,165100,31.9,34.7,28.8361,-81.7933
"Sorrento ",39318,17569,35,765,1.3,589,98.1,936,77.3,2.72,149000,56.7,57.7,28.8079,-81.5636
"St. Cloud ",36467,17031,37,35183,18,1981,98,36371,55,2.75,147300,57.6,49.4,28.2467,-81.2875
"Tavares ",31337,19942,56,9700,7.5,1300,93.2,14011,21.2,2.12,123000,47.2,28.4,28.8017,-81.7336
"Titusville ",35607,18901,43,43761,34.2,1300,85,43855,6,2.42,80400,77.1,50.9,28.5911,-80.82
"Umatilla",29628,17739,39,2214,3,738,87.1,3481,28.6,2.31,90600,51.7,53.2,28.9331,-81.6644
"Winter Garden",41858,20228.1666666667,37,34568,15.6,2200,104,34508,93.3,3.02,186600,60.9,51.1,28.5603,-81.5842
"Winter Springs",58247,26166,37,33282,14.4,2199,104,33331,9.6,2.83,181900,40.9,24.8,28.6933,-81.2789
"Yalaha",31940,19734,50,1175,14.8,79.4,94,1184,87.9,1.95,125400,19.6,26.9,28.7442,-81.8186
