"id","income","height","weight","sex","race","education","asvab","sat_math","bdate"
1,70000,67,152,"female","other",NA,45.07,550,9
2,83000,67,180,"male","hispanic",NA,58.483,550,7
4,29000,61,200,"female","hispanic",NA,37.012,NA,2
5,76000,66,190,"male","hispanic",NA,NA,350,10
6,15000,NA,NA,"female","hispanic",NA,22.001,350,1
9,54000,71,200,"male","other",NA,NA,550,10
11,33000,64,178,"female","hispanic",16,30.583,NA,6
13,30000,65,140,"male","hispanic",12,67.533,NA,11
18,23000,68,140,"male","black",NA,9.339,NA,2
22,50000,69,225,"male","hispanic",NA,10.443,NA,6
23,54800,59,132,"female","hispanic",15,6.423,350,1
24,1000,66,147,"male","hispanic",NA,6.12,NA,6
28,40000,69,205,"female","black",NA,17.058,NA,11
31,60000,69,140,"male","other",NA,62.806,550,7
32,180331,68,145,"female","other",NA,39.949,550,7
33,15000,64,133,"female","other",NA,96.655,650,12
35,47000,67,180,"male","other",NA,59.27,550,1
36,20000,64,150,"female","other",14,52.192,NA,8
37,50000,66,145,"female","other",NA,82.912,750,11
38,65000,67,155,"female","other",NA,68.753,NA,9
39,15000,71,200,"male","hispanic",NA,45.9,450,2
41,40000,62,110,"female","other",NA,88.652,650,1
45,1000,NA,205,"female","black",13,NA,NA,2
47,25000,60,130,"female","black",NA,46.475,550,9
48,51000,67,180,"female","black",NA,63.769,450,7
49,38000,64,145,"female","black",NA,79.413,NA,12
50,23000,64,175,"female","black",NA,NA,NA,2
51,32000,65,NA,"male","black",NA,51.057,NA,6
52,30000,69,255,"male","black",NA,29.824,NA,12
53,28000,63,109,"female","black",NA,47.134,NA,4
54,35000,65,245,"female","black",NA,58.541,NA,12
55,37000,64,303,"female","hispanic",NA,53.241,550,2
56,70000,65,180,"female","other",NA,96.703,650,2
57,3000,72,138,"male","black",NA,NA,NA,12
58,77000,68,205,"male","black",NA,15.235,NA,11
59,18000,69,308,"female","black",14,56.429,450,4
61,6000,62,190,"female","black",NA,44.495,NA,5
62,31000,74,240,"male","black",NA,73.429,550,3
63,33000,64,176,"female","black",NA,52.921,650,10
67,35000,72,180,"male","black",NA,NA,450,11
70,65000,72,185,"male","black",NA,56.708,450,8
74,70000,70,185,"male","other",NA,NA,650,7
75,55000,67,150,"male","other",NA,7.556,NA,1
79,3500,67,165,"male","hispanic",NA,10.563,NA,12
82,20000,73,250,"male","hispanic",NA,69.94,NA,7
83,35000,70,185,"male","hispanic",NA,8.011,550,9
85,2000,68,210,"male","other",NA,70.113,NA,2
86,36000,63,121,"female","other",NA,13.722,450,10
88,75000,72,175,"male","other",NA,5.929,550,1
89,64000,71,205,"male","other",20,78.892,550,11
90,25000,68,214,"male","hispanic",15,NA,NA,11
91,51000,69,250,"female","hispanic",NA,NA,450,9
94,50000,63,168,"female","black",NA,79.941,NA,9
97,60000,72,160,"male","hispanic",NA,58.177,450,6
100,40000,65,185,"female","black",NA,10.086,NA,1
101,37000,69,180,"female","black",NA,NA,NA,7
104,40000,65,280,"female","other",NA,58.482,450,11
105,90000,66,200,"male","other",NA,74.883,450,8
107,88000,63,151,"female","other",18,94.837,550,8
108,65000,73,190,"male","other",NA,83.765,550,9
109,50000,63,109,"female","other",NA,90.866,550,3
110,60000,69,150,"female","other",NA,43.864,550,2
113,49000,75,190,"male","other",NA,76.838,550,4
114,25000,67,185,"female","other",NA,65.345,450,7
116,26000,68,150,"male","black",NA,NA,450,10
117,27000,69,155,"male","black",NA,NA,450,10
119,43000,NA,225,"male","other",NA,33.091,650,9
120,65000,NA,205,"male","other",19,NA,NA,6
121,48000,NA,250,"male","other",NA,80.701,550,12
122,30000,75,280,"male","other",NA,59.605,550,6
126,55000,68,145,"male","other",NA,35.303,NA,5
127,75000,NA,230,"female","other",NA,58.706,650,3
128,68000,63,180,"female","other",NA,71.624,550,8
133,85000,69,175,"male","other",NA,83.789,750,7
137,52000,66,125,"female","other",NA,63.329,NA,5
138,45000,80,200,"male","other",NA,60.424,550,4
142,33000,65,150,"female","other",NA,55.54,NA,1
143,60000,69,175,"male","black",14,42.098,450,8
144,67000,74,190,"male","black",NA,62.219,NA,8
148,25000,63,200,"female","black",12,NA,NA,10
150,0,72,170,"male","black",14,12.233,NA,2
155,180331,70,180,"male","other",NA,99.595,750,2
156,95000,82,168,"male","other",NA,92.692,750,11
157,49000,60,190,"female","hispanic",NA,NA,450,3
158,72000,71,260,"male","hispanic",NA,79.949,550,12
159,10000,66,256,"female","hispanic",NA,3.049,NA,1
162,47700,64,NA,"female","black",18,NA,550,8
163,600,73,230,"male","black",NA,NA,NA,2
164,49000,64,140,"female","other",NA,50.169,NA,7
165,92500,71,228,"male","other",NA,40.421,550,4
166,88000,66,145,"female","other",NA,83.128,650,9
169,4500,67,270,"female","other",NA,75.582,NA,1
176,86000,72,215,"male","other",NA,90.292,650,9
177,60000,62,200,"female","other",NA,46.304,450,11
178,50000,63,165,"female","other",20,87.198,550,3
181,60000,65,210,"female","other",20,100,750,11
182,105000,63,146,"female","other",NA,98.196,750,5
183,30000,66,145,"female","other",NA,81.282,350,12
185,15000,66,166,"male","black",NA,7.81,NA,6
187,70000,72,200,"male","hispanic",NA,85.828,450,9
188,39000,NA,120,"female","other",16,42.443,NA,10
191,32000,68,170,"male","other",NA,74.248,450,2
192,31000,62,180,"female","hispanic",NA,55.484,NA,3
194,30000,64,220,"female","hispanic",NA,49.636,350,10
197,50000,66,160,"female","other",NA,75.823,NA,12
198,20000,62,200,"female","other",NA,29.945,NA,7
199,63000,65,145,"male","other",NA,52.6,450,6
200,20000,74,178,"male","other",NA,NA,550,8
201,22000,64,100,"female","other",18,99.591,750,12
202,80000,73,183,"male","other",NA,39.048,NA,1
203,79000,66,125,"female","other",NA,46.707,450,1
204,52000,67,250,"female","other",NA,61.895,350,5
208,30000,NA,150,"female","other",16,71.791,650,3
211,85000,63,120,"female","hispanic",NA,NA,750,6
213,18000,61,148,"female","hispanic",NA,35.568,450,4
214,94000,NA,126,"female","hispanic",NA,66.561,550,11
215,45000,65,158,"male","hispanic",NA,NA,750,5
216,35000,65,304,"female","hispanic",15,60.496,NA,6
219,25000,69,170,"male","multiracial",NA,80.773,550,3
222,85000,66,160,"male","hispanic",NA,62.197,550,1
224,30000,64,175,"female","other",NA,37.76,450,10
225,50000,70,320,"male","other",NA,54.975,NA,10
228,30000,72,163,"male","other",16,29.631,450,1
229,45000,65,137,"female","other",NA,86.033,650,2
230,69250,66,160,"male","hispanic",NA,62.122,550,5
232,45000,71,176,"male","hispanic",16,43.085,NA,6
233,30000,70,170,"male","hispanic",NA,NA,NA,12
234,23000,65,135,"female","hispanic",NA,NA,350,8
236,40000,59,107,"female","hispanic",NA,76.936,NA,12
237,45000,68,140,"male","other",NA,58.782,450,3
239,28000,70,183,"male","other",NA,NA,450,9
240,80000,60,100,"female","other",NA,NA,750,4
241,64000,61,154,"female","hispanic",NA,51.504,450,2
242,71000,71,276,"male","hispanic",16,45.199,450,6
244,35000,67,210,"male","hispanic",NA,10.687,250,3
245,35000,69,150,"female","other",20,72.248,450,7
246,84000,70,190,"male","hispanic",20,89.776,550,10
247,60000,70,180,"male","other",NA,86.419,650,3
248,72000,67,NA,"female","other",NA,87.611,550,9
251,60000,66,140,"male","hispanic",NA,56.495,450,4
254,61000,70,175,"male","other",NA,58.224,550,8
256,26000,70,175,"male","other",NA,NA,NA,8
258,27000,65,155,"male","other",18,42.366,450,11
264,30000,66,200,"male","other",15,57.523,NA,7
265,43000,67,145,"male","hispanic",NA,10.621,NA,9
266,72000,67,113,"female","other",NA,NA,550,12
267,49000,65,134,"female","other",NA,91.328,550,12
268,48000,70,178,"male","hispanic",NA,36.454,450,12
270,28000,66,263,"female","other",NA,75.382,450,1
272,5000,61,266,"female","hispanic",NA,18.296,NA,9
276,6000,60,125,"female","hispanic",NA,NA,NA,1
278,38000,72,200,"male","other",NA,63.505,550,9
281,20000,71,160,"male","black",NA,53.768,NA,12
282,15000,66,135,"male","other",NA,20.877,NA,6
283,39500,66,170,"male","other",NA,72.692,450,5
284,19000,64,NA,"female","black",18,9.799,NA,3
285,75000,71,315,"male","other",NA,28.624,NA,2
286,8000,63,190,"female","other",NA,NA,550,9
287,52000,69,240,"male","other",NA,18.211,NA,5
288,34000,65,276,"female","other",14,34.539,450,10
289,6000,61,215,"female","other",NA,52.2,NA,10
290,28000,62,126,"female","other",NA,39.122,NA,1
292,60000,67,280,"female","black",NA,56.63,350,9
