"name","year","month","day","hour","lat","long","pressure","wind","type","seasday"
"Allison",1995,6,3,0,17.4,-84.3,1005,30,"Tropical Depression",3
"Allison",1995,6,3,6,18.3,-84.9,1004,30,"Tropical Depression",3
"Allison",1995,6,3,12,19.3,-85.7,1003,35,"Tropical Storm",3
"Allison",1995,6,3,18,20.6,-85.8,1001,40,"Tropical Storm",3
"Allison",1995,6,4,0,22,-86,997,50,"Tropical Storm",4
"Allison",1995,6,4,6,23.3,-86.3,995,60,"Tropical Storm",4
"Allison",1995,6,4,12,24.7,-86.2,987,65,"Hurricane",4
"Allison",1995,6,4,18,26.2,-86.2,988,65,"Hurricane",4
"Allison",1995,6,5,0,27.6,-86.1,988,65,"Hurricane",5
"Allison",1995,6,5,6,28.5,-85.6,990,60,"Tropical Storm",5
"Allison",1995,6,5,12,29.6,-84.7,990,60,"Tropical Storm",5
"Allison",1995,6,5,18,30.7,-83.8,993,45,"Tropical Storm",5
"Allison",1995,6,6,0,31.8,-82.8,993,30,"Tropical Depression",6
"Allison",1995,6,6,6,32.7,-81.5,994,35,"Extratropical",6
"Allison",1995,6,6,12,33.6,-80,995,35,"Extratropical",6
"Allison",1995,6,6,18,34.5,-78.1,995,40,"Extratropical",6
"Allison",1995,6,7,0,35.6,-75.9,992,40,"Extratropical",7
"Allison",1995,6,7,6,37.1,-73.6,990,45,"Extratropical",7
"Allison",1995,6,7,12,38.5,-71,988,45,"Extratropical",7
"Allison",1995,6,7,18,39.8,-69.2,984,45,"Extratropical",7
"Allison",1995,6,8,0,41,-67.7,982,50,"Extratropical",8
"Allison",1995,6,8,6,42.4,-66,984,50,"Extratropical",8
"Allison",1995,6,8,12,43.8,-63.7,989,50,"Extratropical",8
"Allison",1995,6,8,18,45.2,-61.2,993,45,"Extratropical",8
"Allison",1995,6,9,0,46.5,-58.5,995,40,"Extratropical",9
"Allison",1995,6,9,6,48.1,-55.9,996,40,"Extratropical",9
"Allison",1995,6,9,12,50,-53,997,40,"Extratropical",9
"Allison",1995,6,9,18,53,-52,1000,40,"Extratropical",9
"Allison",1995,6,10,0,57,-52,997,40,"Extratropical",10
"Allison",1995,6,10,6,60,-52,990,40,"Extratropical",10
"Allison",1995,6,10,12,62,-53,992,40,"Extratropical",10
"Allison",1995,6,10,18,64,-55,992,35,"Extratropical",10
"Allison",1995,6,11,0,65,-56,993,35,"Extratropical",11
"Barry",1995,7,5,6,32,-72,1019,20,"Extratropical",35
"Barry",1995,7,5,12,32,-72,1019,20,"Extratropical",35
"Barry",1995,7,5,18,31.9,-72,1018,20,"Extratropical",35
"Barry",1995,7,6,0,31.8,-72,1017,25,"Extratropical",36
"Barry",1995,7,6,6,31.7,-71.9,1016,25,"Extratropical",36
"Barry",1995,7,6,12,31.5,-71.7,1013,30,"Extratropical",36
"Barry",1995,7,6,18,31.3,-71.6,1011,30,"Tropical Depression",36
"Barry",1995,7,7,0,31.3,-71.3,1009,30,"Tropical Depression",37
"Barry",1995,7,7,6,31.6,-71,1007,35,"Tropical Storm",37
"Barry",1995,7,7,12,32.2,-70.6,1004,40,"Tropical Storm",37
"Barry",1995,7,7,18,33.2,-70.2,1001,60,"Tropical Storm",37
"Barry",1995,7,8,0,34,-69.6,997,60,"Tropical Storm",38
"Barry",1995,7,8,6,34.9,-68.9,997,55,"Tropical Storm",38
"Barry",1995,7,8,12,35.9,-68.2,997,50,"Tropical Storm",38
"Barry",1995,7,8,18,37.2,-67.2,997,50,"Tropical Storm",38
"Barry",1995,7,9,0,38.7,-66,996,50,"Tropical Storm",39
"Barry",1995,7,9,6,40.5,-64.6,995,50,"Tropical Storm",39
"Barry",1995,7,9,12,42.3,-63.1,993,50,"Tropical Storm",39
"Barry",1995,7,9,18,44.3,-61.7,991,50,"Tropical Storm",39
"Barry",1995,7,10,0,46.4,-60.5,990,45,"Tropical Storm",40
"Barry",1995,7,10,6,48.5,-59.2,989,40,"Extratropical",40
"Chantal",1995,7,12,0,17.1,-54.9,1012,25,"Tropical Depression",42
"Chantal",1995,7,12,6,17.5,-56.5,1012,25,"Tropical Depression",42
"Chantal",1995,7,12,12,18.1,-58.3,1012,25,"Tropical Depression",42
"Chantal",1995,7,12,18,18.7,-59.9,1011,30,"Tropical Depression",42
"Chantal",1995,7,13,0,19.2,-61,1011,30,"Tropical Depression",43
"Chantal",1995,7,13,6,19.6,-61.9,1011,30,"Tropical Depression",43
"Chantal",1995,7,13,12,20.1,-62.7,1010,30,"Tropical Depression",43
"Chantal",1995,7,13,18,20.6,-63.6,1010,30,"Tropical Depression",43
"Chantal",1995,7,14,0,21.1,-64.4,1006,35,"Tropical Storm",44
"Chantal",1995,7,14,6,21.1,-64.9,1008,35,"Tropical Storm",44
"Chantal",1995,7,14,12,21.1,-65.2,1009,35,"Tropical Storm",44
"Chantal",1995,7,14,18,21.3,-65.5,1010,40,"Tropical Storm",44
"Chantal",1995,7,15,0,21.8,-66,1009,40,"Tropical Storm",45
"Chantal",1995,7,15,6,22.3,-66.7,1006,45,"Tropical Storm",45
"Chantal",1995,7,15,12,22.7,-67.5,1006,45,"Tropical Storm",45
"Chantal",1995,7,15,18,23.2,-67.9,1005,45,"Tropical Storm",45
"Chantal",1995,7,16,0,23.7,-68.2,1004,45,"Tropical Storm",46
"Chantal",1995,7,16,6,24.5,-68.4,999,50,"Tropical Storm",46
"Chantal",1995,7,16,12,25.3,-68.8,999,50,"Tropical Storm",46
"Chantal",1995,7,16,18,26.2,-69.1,997,55,"Tropical Storm",46
"Chantal",1995,7,17,0,27.2,-69.4,991,60,"Tropical Storm",47
"Chantal",1995,7,17,6,28.2,-69.6,995,60,"Tropical Storm",47
"Chantal",1995,7,17,12,29.3,-69.8,997,60,"Tropical Storm",47
"Chantal",1995,7,17,18,30.5,-69.8,995,55,"Tropical Storm",47
"Chantal",1995,7,18,0,31.6,-69.7,994,55,"Tropical Storm",48
"Chantal",1995,7,18,6,32.6,-69,994,55,"Tropical Storm",48
"Chantal",1995,7,18,12,33.6,-68.1,995,50,"Tropical Storm",48
"Chantal",1995,7,18,18,34.6,-67.3,996,50,"Tropical Storm",48
"Chantal",1995,7,19,0,35.4,-65.8,997,50,"Tropical Storm",49
"Chantal",1995,7,19,6,36.2,-64.1,997,50,"Tropical Storm",49
"Chantal",1995,7,19,12,37.1,-62.4,998,50,"Tropical Storm",49
"Chantal",1995,7,19,18,38.2,-60.2,998,50,"Tropical Storm",49
"Chantal",1995,7,20,0,39.5,-57.6,999,50,"Tropical Storm",50
"Chantal",1995,7,20,6,41.1,-54.7,999,50,"Tropical Storm",50
"Chantal",1995,7,20,12,43,-51.7,1000,50,"Tropical Storm",50
"Chantal",1995,7,20,18,45.4,-48.8,1000,50,"Extratropical",50
"Chantal",1995,7,21,0,47.7,-45.2,1001,50,"Extratropical",51
"Chantal",1995,7,21,6,49.7,-41.6,1002,50,"Extratropical",51
"Chantal",1995,7,21,12,51.4,-37,1003,50,"Extratropical",51
"Chantal",1995,7,21,18,53,-31,1005,50,"Extratropical",51
"Chantal",1995,7,22,0,55,-20,1005,50,"Extratropical",52
"Dean",1995,7,28,18,26.2,-86.6,1009,25,"Tropical Depression",58
"Dean",1995,7,29,0,26.1,-87.3,1008,30,"Tropical Depression",59
"Dean",1995,7,29,6,26.2,-87.9,1008,30,"Tropical Depression",59
"Dean",1995,7,29,12,26.3,-88.3,1008,30,"Tropical Depression",59
"Dean",1995,7,29,18,26.5,-89.4,1007,30,"Tropical Depression",59
"Dean",1995,7,30,0,26.9,-90.6,1007,30,"Tropical Depression",60
"Dean",1995,7,30,6,27.6,-91.7,1006,30,"Tropical Depression",60
