"Address","City","State","Zip","Longitude","Latitude"
"2900 Denali","Anchorage",AK,"99503",-149.8767,61.1953
"3850 Debarr Road","Anchorage",AK,"99508",-149.8090,61.2097
"1929 Airport Way","Fairbanks",AK,"99701",-147.7600,64.8366
"230 Connector Dr","Auburn",AL,"36849",-85.4681,32.6033
"224 Daniel Payne Drive N","Birmingham",AL,"35207",-86.8317,33.5615
"900 16th St S, Commons on Gree","Birmingham",AL,"35294",-86.8037,33.5007
"5931 Alabama Highway, #157","Cullman",AL,"35056",-86.8722,34.2068
"2190 Ross Clark Circle","Dothan",AL,"36301",-85.4006,31.1904
"900 Tyson Rd","Hope Hull (Tyson)",AL,"36043",-86.4209,32.1953
"4874 University Drive","Huntsville",AL,"35816",-86.6556,34.7379
"2209 Se Walton Blvd","Bentonville",AR,"72712",-94.1883,36.3351
"2589 W 6th St","Fayetteville",AR,"72704",-94.1966,36.0534
"5910 Rogers Ave","Ft Smith",AR,"72903",-94.3680,35.3609
"310 S Shackleford Dr","Little Rock",AR,"72211",-92.3940,34.7512
"43 Bradley Cove Rd","Russellville",AR,"72802",-93.0900,35.2842
"4861 W Sunset Ave","Springdale",AR,"72762",-94.1839,36.1753
"5104 N State Line","Texarkana",AR,"71854",-94.0432,33.3622
"8300 State Highway 108","Texarkana",AR,"71854",-93.9403,33.5054
"3000 Service Loop Rd","West Memphis",AR,"72301",-90.1379,35.1532
"4121 W Anthem Way","Anthem",AZ,"85086",-112.1495,33.8710
"10623 E Main St","Apache Junction",AZ,"85220",-111.6011,33.4146
"825 N Ocotillo Rd","Benson",AZ,"86502",-110.3071,31.9809
"441 S Watson Rd","Buckeye",AZ,"85326",-112.5564,33.4435
"1762 Highway 95","Bullhead City",AZ,"86442",-114.5863,35.1215
"1630 W Highway 260","Camp Verde",AZ,"86322",-111.8831,34.5767
"1851 E Florence Blvd","Casa Grande",AZ,"85122",-111.7078,32.8796
"1750 W Chandler Blvd","Chandler",AZ,"85224",-111.8727,33.3061
"7400 W Chandler Blvd","Chandler",AZ,"85226",-111.9689,33.3054
"Indian Route 7","Chinle",AZ,"86503",-109.5634,36.1558
"2211 State Route 89a","Cottonwood",AZ,"86326",-112.0009,34.7213
"401 N Chiricahua Rd","Douglas",AZ,"85607",-109.5605,31.3392
"16189 S Sunshine Blvd","Eloy",AZ,"85131",-111.5504,32.7324
"2122 S Milton Road","Flagstaff",AZ,"86001",-111.6613,35.1790
"2306 E Lucky Lane","Flagstaff",AZ,"86004",-111.6239,35.1923
"4650 N Highway 89 C-32","Flagstaff",AZ,"86004",-112.4531,34.8138
"Northern Arizona University","Flagstaff",AZ,"86011",-111.6556,35.1908
"17053 E Shea Blvd","Fountain Hills",AZ,"85268",-111.7131,33.5722
"1368 N Cooper Rd","Gilbert",AZ,"85233",-111.8072,33.3745
"1661 E Warner Rd","Gilbert",AZ,"85296",-111.7530,33.3356
"3971 South Gilbert Rd","Gilbert",AZ,"85297",-111.7896,33.2780
"4303 W Peoria Ave","Glendale",AZ,"85302",-112.1524,33.5819
"9856 W Camelback Rd","Glendale",AZ,"85305",-112.2720,33.5083
"5161 W Thunderbird Rd","Glendale",AZ,"85306",-112.1702,33.6107
"1218 N Litchfield Rd","Goodyear",AZ,"85338",-112.3582,33.4600
"18875 S I-19 Frontage Rd","Green Valley",AZ,"85614",-110.9837,31.9074
"2510 Navajo Blvd","Holbrook",AZ,"86025",-110.1372,34.9325
"3255 E Andy Devine","Kingman",AZ,"86401",-114.0084,35.2198
"3300 E Andy Devine Ave","Kingman",AZ,"86401",-114.0078,35.2204
"1620 McCulloch Blvd","Lake Havasu City",AZ,"86403",-114.3438,34.4745
"Edison Rd & State Road 347","Maricopa",AZ,"85139",-112.0478,33.0652
"1210 E Main","Mesa",AZ,"85203",-111.8050,33.4152
"1330 S Power Rd","Mesa",AZ,"85206",-111.6849,33.3914
"1150 S Country Club","Mesa",AZ,"85210",-111.8401,33.3942
"683 North Grand Ave","Nogales",AZ,"85621",-110.9314,31.3441
"669 Scenic View Dr","Page",AZ,"86040",-111.4752,36.9218
"312 S Beeline Hwy","Payson",AZ,"85541",-111.3231,34.2383
"8737 Nw Grand Ave","Peoria",AZ,"85345",-112.2458,33.5883
"8131 W Bell Rd","Peoria",AZ,"85382",-112.2310,33.6381
"2801 No Black Canyon","Phoenix",AZ,"85009",-112.1126,33.4796
"5002 North Seventh St","Phoenix",AZ,"85014",-112.0650,33.5093
"3456 W Bethany Home","Phoenix",AZ,"85017",-112.1331,33.5240
"2120 E Cactus Rd","Phoenix",AZ,"85022",-112.0364,33.5968
"2525 W Deer Valley Rd","Phoenix",AZ,"85027",-112.1146,33.6838
"4120 N 51st Ave","Phoenix",AZ,"85031",-112.1689,33.4954
"3205 E Bell Rd","Phoenix",AZ,"85032",-112.0134,33.6405
"1401 N 75th Ave","Phoenix",AZ,"85043",-112.2204,33.4639
"6700 West Latham","Phoenix",AZ,"85043",-112.2034,33.4601
"9030 N Black Canyon Highway","Phoenix",AZ,"85051",-112.1178,33.5679
"2717 W Bell Rd","Phoenix",AZ,"85053",-112.1188,33.6398
"7000 E Mayo Blvd","Phoenix",AZ,"85054",-111.9297,33.6553
"3160 W Carefree","Phoenix",AZ,"85086",-112.1287,33.7984
"1230 Gail Gardner Way","Prescott",AZ,"86305",-112.4864,34.5635
"7925 E Hwy 69","Prescott Valley",AZ,"86312",-112.3265,34.5859
"1758 W Hunt Highway","San Tan Valley",AZ,"85143",-111.5849,33.1798
"3315 N Scottsdale","Scottsdale",AZ,"85251",-111.9261,33.4864
"9160 E Indian Bend Rd","Scottsdale",AZ,"85256",-111.8836,33.5384
"7605 E McDowell Rd","Scottsdale",AZ,"85260",-111.9174,33.4657
"4471 White Mountain Rd","Show Low",AZ,"85901",-110.0239,34.2095
"2397 Fry Blvd","Sierra Vista",AZ,"85635",-110.2737,31.5546
"392 W Hwy 264","St Michaels",AZ,"86511",-109.1132,35.6584
"14799 West Grand Ave","Surprise",AZ,"85374",-112.3774,33.6597
"650 N Scottsdale Rd","Tempe",AZ,"85281",-111.9263,33.4350
"825 S 48th St","Tempe",AZ,"85281",-111.9763,33.4215
"1343 W Broadway","Tempe",AZ,"85282",-111.9596,33.4074
"4403 S Rural Rd","Tempe",AZ,"85282",-111.9264,33.3850
"1994 W Baseline Rd","Tempe",AZ,"85283",-111.9697,33.3783
"2875 W Highway 70","Thatcher",AZ,"85552",-109.7484,32.8482
"2 Legacy Lane","Tuba City",AZ,"86045",-111.5178,35.2812
"5000 Oracle Rd","Tucson",AZ,"85704",-110.9782,32.2974
"1510 W Valencia Rd","Tucson",AZ,"85706",-110.9966,32.1339
"2630 E Valencia Rd","Tucson",AZ,"85706",-110.9326,32.1341
"6484 E Broadway","Tucson",AZ,"85710",-110.8551,32.2209
"3702 E Irvington Rd","Tucson",AZ,"85714",-110.9122,32.1631
"University of Arizona - Park Stu","Tucson",AZ,"85721",-110.9461,32.2074
"4920 W Ina Rd","Tucson",AZ,"85741",-111.0684,32.3376
"555 N Freeway","Tucson",AZ,"85745",-110.9833,32.2310
"1010 N Tegner Rd","Wickenburg",AZ,"85390",-112.7380,33.9807
"400 Transcon Lane","Winslow",AZ,"86047",-110.6749,35.0167
