Name,Address,Phone,Fax,Longitude,Latitude
La Quinta Inn & Suites Aberdeen-APG,"793 W. Bel Air Avenue,
Aberdeen, MD 21001",1-800-753-3757,1-410-272-7706,-76.188459,39.523216
La Quinta Inn & Suites Abilene Mall,"3018 CatClaw Dr,
Abilene, TX 79606",1-325-437-4832,1-325-437-4840,-99.778765,32.413489
La Quinta Inn Abilene,"3501 West Lake Rd,
Abilene, TX 79601",1-325-676-1676,1-325-672-8323,-99.722688,32.491357
La Quinta Inn Acworth,"184 North Point Way,
Acworth, GA 30102",1-770-975-9920,1-770-975-9342,-84.656087,34.082039
La Quinta Inn & Suites Ada,"2828 East Arlington Street,
Ada, OK 74820",1-580-436-5000,1-580-436-5004,-96.636515,34.781805
La Quinta Inn & Suites Dallas Addison Galleria,"14925 Landmark Blvd,
Addison, TX 75254",1-972-404-0004,1-972-960-6439,-96.82874,32.951644
LQ Hotel by La Quinta Aguascalientes,"Carretera Panamericana Sur KM 12,
Aguascalientes, AG 20345",52-449-2399050,52-449-2399050,-102.276329,21.755585
La Quinta Inn & Suites Alamo - McAllen East,"909 East Frontage Rd,
Alamo, TX 78516",1-956-783-6955,1-956-783-6944,-98.119251,26.189974
La Quinta Inn Albuquerque Airport,"2116 Yale Blvd Southeast,
Albuquerque, NM 87106-4233",1-505-243-5500,1-505-247-8288,-106.621731,35.058154
La Quinta Inn & Suites Albuquerque Journal Ctr NW,"7439 Pan American Fwy Northeast,
Albuquerque, NM 87109",1-505-345-7500,1-505-345-1616,-106.588759,35.160862
La Quinta Inn & Suites Albuquerque Midtown,"2011 Menaul Blvd Northeast,
Albuquerque, NM 87107",1-505-761-5600,1-505-761-5601,-106.621918,35.110676
La Quinta Inn Albuquerque Northeast,"5241 San Antonio Dr Northeast,
Albuquerque, NM 87109-4135",1-505-821-9000,1-505-821-2399,-106.585234,35.160262
La Quinta Inn & Suites Albuquerque West,"6101 Iliff Rd Northwest,
Albuquerque, NM 87121",1-505-839-1744,1-505-839-1797,-106.708359,35.103537
La Quinta Inn & Suites Alexandria Airport,"6116 West Calhoun Dr,
Alexandria, LA 71303",1-318-442-3700,1-318-442-0870,-92.521641,31.345904
La Quinta Inn & Suites Alice,"2400 East Main St,
Alice, TX 78332",1-361-661-1777,1-361-661-1771,-98.043509,27.764255
La Quinta Inn & Suites Allen at The Village,"1220 North Central Expressway,
Allen, TX 75013",1-214-667-6772,1-214-667-6783,-96.667392,33.116742
La Quinta Inn & Suites Alvarado,"1165 Hwy 67W,
Alvarado, TX 76009",1-817-783-8700,1-817-783-8710,-97.223768,32.414902
La Quinta Inn & Suites Alvin,"880 South Loop 35,
Alvin, TX 77511",1-281-585-3900,1-281-585-3901,-95.230114,29.417545
La Quinta Inn Amarillo East Airport Area,"1708 Interstate 40 East,
Amarillo, TX 79103-2114",1-806-373-7486,1-806-372-4100,-101.818769,35.192004
La Quinta Inn & Suites Amarillo Mid City,"9305 East Interstate 40,
Amarillo, TX 79118",1-806-335-9572,1-806-335-9592,-101.731491,35.193716
La Quinta Inn Amarillo West Medical Center,"2108 S Coulter St,
Amarillo, TX 79106-2514",1-806-352-6311,1-806-359-3179,-101.921947,35.189119
La Quinta Inn & Suites Anaheim,"1752 Clementine St,
Anaheim, CA 92802",1-714-635-5000,1-714-776-9073,-117.909934,33.804336
La Quinta Inn & Suites Anchorage Airport,"3501 Minnesota Dr.,
Anchorage, AK 99503",1-907-276-8884,1-907-279-8194,-149.911896,61.188425
La Quinta Inn & Suites Boston-Andover,"131 River Rd,
Andover, MA 01810",1-978-685-6200,1-978-794-9626,-71.208835,42.690716
La Quinta Inn & Suites Andrews,"1012 NE 1st Place,
Andrews, TX 79714",1-432-223-3140,1-432-223-3141,-102.548602,32.329328
La Quinta Inn & Suites Angleton,"2400 West Mulberry St,
Angleton, TX 77515",1-979-864-3383,1-979-864-3652,-95.457995,29.162936
La Quinta Inn & Suites Appleton College Avenue,"3800 West College Ave,
Appleton, WI 54914",1-920-734-7777,1-920-734-0049,-88.462334,44.262343
La Quinta Inn & Suites Ardmore Central,"1502 Woerz Way,
Ardmore, OK 73401",1-580-220-2990,1-580-220-2991,-97.16337,34.18978
La Quinta Inn & Suites Arlington North 6 Flags Dr,"825 North Watson Rd,
Arlington, TX 76011",1-817-640-4142,1-817-649-7864,-97.065655,32.754999
La Quinta Inn & Suites Armonk Westchester Cnty Apt,"94 Business Park Dr,
Armonk, NY 10504",1-914-273-9090,1-914-273-4105,-73.70732,41.120988
La Quinta Inn & Suites Artesia,"2207 West Main Street,
Artesia, NM 88210",1-575-736-2400,1-575-736-2401,-104.423782,32.841684
La Quinta Inn & Suites Houston Humble Atascocita,"6909 Atascocita Rd.,
Humble, TX 77346",1-832-644-1609,1-832-644-1808,-95.173552,29.996108
La Quinta Inn & Suites Atlanta Airport North,"1200 Virginia Ave,
Atlanta, GA 30344",1-404-209-1800,1-404-209-1803,-84.428622,33.658159
La Quinta Inn & Suites Atlanta Airport South,"4820 Massachusetts Blvd,
Atlanta, GA 30337",1-770-996-0000,1-770-996-9260,-84.45413,33.62373
La Quinta Inn & Suites Atlanta Alpharetta,"1350 North Point Dr,
Alpharetta, GA 30022",1-770-754-7800,1-770-754-9242,-84.289212,34.050777
La Quinta Inn & Suites Atlanta Conyers,"1184 Dogwood Dr SE,
Conyers, GA 30012",1-770-918-0092,1-770-918-0565,-84.005762,33.654899
La Quinta Inn & Suites Atlanta Douglasville,"1000 Linnenkohl Dr,
Douglasville, GA 30134",1-770-577-3838,1-770-577-2731,-84.75943,33.731487
La Quinta Inn & Suites Atlanta Duluth,"2370 Stephens Center Dr,
Duluth, GA 30096",1-678-957-0500,1-678-957-1006,-84.092387,33.975076
La Quinta Inn & Suites Atlanta Midtown – Buckhead,"2535 Chantilly Dr Northeast,
Atlanta, GA 30324",1-404-321-0999,1-404-634-3384,-84.349433,33.823624
La Quinta Inn & Suites Atlanta Ballpark/Galleria,"2415 Paces Ferry Rd Southeast,
Atlanta, GA 30339",1-770-801-9002,1-770-801-9086,-84.483304,33.862991
La Quinta Inn & Suites Atlanta Perimeter Medical,"6260 Peachtree Dunwoody Rd,
Atlanta, GA 30328",1-770-350-6177,1-770-350-6630,-84.351476,33.923017
La Quinta Inn & Suites Atlanta Roswell,"575 Old Holcomb Bridge Rd,
Roswell, GA 30076",1-770-552-0200,1-770-552-0110,-84.328818,34.024387
La Quinta Inn & Suites Atlanta South - Newnan,"600 Bullsboro Dr,
Newnan, GA 30265",1-770-502-8430,1-770-502-8448,-84.758117,33.397119000000004
La Quinta Inn & Suites Atlanta Stockbridge,"3581 Cameron Pkwy,
Stockbridge, GA 30281",1-770-506-9991,1-770-506-8226,-84.274346,33.553188
La Quinta Inn Auburn Worcester,"446 Southbridge St,
Auburn, MA 01501",1-508-832-7000,1-508-832-5790,-71.841529,42.199433
La Quinta Inn & Suites Auburn,"225 6th Street South East,
Auburn, WA 98002",1-253-804-9999,1-253-833-9998,-122.227077,47.302127
La Quinta Inn Augusta,"3020 Washington Rd,
Augusta, GA 30907",1-706-733-2660,1-706-738-3637,-82.046295,33.512282
La Quinta Inn & Suites Austin Airport,"7625 East Ben White Blvd,
Austin, TX 78741",1-512-386-6800,1-512-386-8785,-97.691821,30.217562
La Quinta Inn Austin Capitol / Downtown,"300 East 11th St,
Austin, TX 78701",1-512-476-1166,1-512-476-6044,-97.7385,30.27219
La Quinta Inn & Suites Austin NW/Lakeline Mall,"10701 Lakeline Mall Dr,
Austin, TX 78717",1-512-568-3538,1-512-506-8944,-97.792153,30.475715
La Quinta Inn & Suites Austin - Cedar Park,"1010 East Whitestone Blvd,
Cedar Park, TX 78613",1-512-528-9300,1-512-528-9432,-97.817846,30.52437
La Quinta Inn & Suites Austin Mopac North at The Domain,"11901 North Mopac Expwy,
Austin, TX 78759",1-512-832-2121,1-512-832-5277,-97.718674,30.406888
La Quinta Inn Austin North,"7622 I-35 North,
Austin, TX 78752",1-512-467-1701,1-512-451-0966,-97.702027,30.339111
La Quinta Inn Austin Oltorf,"1603 East Oltorf Blvd,
Austin, TX 78741",1-512-447-6661,1-512-447-1744,-97.740332,30.233463
La Quinta Inn & Suites Round Rock North,"2004 North I-35,
Round Rock, TX 78681",1-512-255-6666,1-512-388-3635,-97.691897,30.52977
La Quinta Inn Austin South / IH35,"4200 I-35 South,
Austin, TX 78745-1202",1-512-443-1774,1-512-447-1555,-97.753277,30.21475
La Quinta Inn & Suites Austin Southwest at Mopac,"4424 South Mopac Expwy,
Austin, TX 78735",1-512-899-3000,1-512-899-3885,-97.817447,30.240884
La Quinta Inn Austin University Area,"5812 N Interstate Hwy 35,
Austin, TX 78751",1-512-459-4381,1-512-452-3917,-97.707833,30.319791
La Quinta Inn & Suites Bakersfield North,"8858 Spectrum Park Way,
Bakersfield, CA 93308",1-661-393-7775,1-661-393-5451,-119.0763,35.44045
La Quinta Inn Bakersfield South,"3232 Riverside Dr,
Bakersfield, CA 93308-6346",1-661-325-7400,1-661-324-6032,-119.042383,35.383269
La Quinta Inn & Suites Baltimore BWI Airport,"1734 West Nursery Rd,
Linthicum, MD 21090",1-410-859-2333,1-410-859-2357,-76.685058,39.197228
La Quinta Inn & Suites Baltimore Downtown,"200 West Saratoga Street,
Baltimore, MD 21201",1-410-528-1110,1-410-528-1130,-76.618319,39.293078
La Quinta Inn & Suites Baltimore N / White Marsh,"4 Philadelphia Ct,
Baltimore, MD 21237",1-410-574-8100,1-410-574-8204,-76.490684,39.338264
La Quinta Inn & Suites Baltimore South Glen Burnie,"6323 Ritchie Hwy,
Glen Burnie, MD 21061",1-410-636-4300,1-410-636-2630,-76.61359,39.20314
La Quinta Inn & Suites Batavia,"8200 Park Road,
Batavia, NY 14020",1-585-344-7000,1-585-343-4787,-78.19307,43.017308
La Quinta Inn & Suites Baton Rouge Denham Springs,"1617 Oneal Ln,
Baton Rouge, LA 70816",1-225-663-6663,1-225-300-4351,-91.007632,30.446422
La Quinta Inn & Suites Baton Rouge - Port Allen,"2720 N Westport Drive,
Port Allen, LA 70767",1-225-960-7787,1-225-960-7785,-91.239695,30.447357
La Quinta Inn & Suites Baton Rouge Siegen Lane,"10555 Reiger Rd,
Baton Rouge, LA 70809",1-225-291-6600,1-225-296-0474,-91.063721,30.382409
La Quinta Inn Baton Rouge University Area,"2333 South Acadian Thruway,
Baton Rouge, LA 70808-2304",1-225-924-9600,1-225-924-2609,-91.150534,30.425949
La Quinta Inn & Suites Bay City,"5300 7th St,
Bay City, TX 77414",1-979-323-9095,1-979-323-9489,-95.928454,28.989119
La Quinta Inn & Suites Beaumont West,"5820 Walden Rd,
Beaumont, TX 77707",1-409-842-0002,1-409-842-5742,-94.16126,30.038825
La Quinta Inn & Suites Beeville,"2062 HWY 59 E,
Beeville, TX 78102",1-361-362-2222,1-361-358-0400,-97.72453,28.411948
La Quinta Inn & Suites Belgrade - Bozeman Airport,"6445 Jackrabbit Lane,
Belgrade, MT 59714",1-406-388-2222,1-406-388-7501,-111.187371,45.764264
La Quinta Inn & Suites Bellingham,"1063 W. Bakerview Rd.,
Bellingham, WA 98226",1-360-738-7088,1-360-738-7011,-122.509771,48.789278
La Quinta Inn & Suites Belton - Temple South,"229 West Loop 121,
Belton, TX 76513",1-254-939-2772,1-254-939-1769,-97.476861,31.030284
La Quinta Inn Bend,"61200 South Hwy 97,
Bend, OR 97702",1-541-388-2227,1-541-388-8820,-121.315628,44.021764
La Quinta Inn & Suites Bentonville,"1001 Southeast Walton,
Bentonville, AR 72712",1-479-271-7555,1-479-271-6262,-94.199379,36.335778
La Quinta Inn Berkeley,"920 University Ave,
Berkeley, CA 94710",1-510-849-1121,1-510-845-4397,-122.2956,37.868382
La Quinta Inn & Suites Big Spring,"1102 IH 20 West,
Big Spring, TX 79720",1-432-264-0222,1-432-264-0840,-101.496334,32.263475
La Quinta Inn & Suites Billings,"5720 S. Frontage Rd.,
Billings, MT 59101",1-406-252-1188,1-406-252-1199,-108.560494,45.747138
La Quinta Inn & Suites Biloxi,"957 Cedar Lake Rd,
Biloxi, MS 39532",1-228-392-5978,1-228-392-5982,-88.935659,30.445751
La Quinta Inn Binghamton - Johnson City,"581 Harry L. Dr,
Johnson City, NY 13790",1-607-770-9333,1-607-770-7526,-75.97092,42.124717
La Quinta Inn Birmingham / Cahaba Park South,"513 Cahaba Park Circle,
Birmingham, AL 35242",1-205-995-9990,1-205-995-0563,-86.708318,33.430991
La Quinta Inn & Suites Birmingham Homewood,"60 State Farm Pkwy,
Homewood, AL 35209",1-205-290-0150,1-205-290-0850,-86.81964,33.455237
La Quinta Inn & Suites Birmingham Hoover,"120 Riverchase Pkwy East,
Birmingham, AL 35244",1-205-403-0096,1-205-403-0380,-86.783656,33.353175
La Quinta Inn & Suites Bismarck,"2240 North 12th Street,
Bismarck, ND 58501",1-701-751-3313,1-701-751-3314,-100.77363,46.829646
La Quinta Inn & Suites Blue Springs,"3402 North West Jefferson St,
Blue Springs, MO 64015",1-816-988-9980,1-816-988-9981,-94.304078,39.035186
La Quinta Inn & Suites Boise Airport,"2613 S. Vista Ave.,
Boise, ID 83705",1-208-388-0800,1-208-388-0846,-116.214351,43.57857
La Quinta Inn & Suites Boise Towne Square,"7965 W. Emerald Street,
Boise, ID 83704",1-208-378-7000,1-208-378-7040,-116.281134,43.610716
La Quinta Inn & Suites Bonita Springs Naples North,"28600 Trails Edge Blvd,
Bonita Springs, FL 34134",1-239-495-9255,1-239-495-6448,-81.806759,26.320198
La Quinta Inn & Suites Boone,"165 Hwy 105 Extension,
Boone, NC 28607",1-828-262-1234,1-828-262-1254,-81.668812,36.215502
La Quinta Inn Bossier City,"309 Preston Blvd,
Bossier City, LA 71111-4969",1-318-747-4400,1-318-747-1516,-93.712905,32.518181
La Quinta Inn & Suites Boston Somerville,"23 Cummings St,
Somerville, MA 02145",1-617-625-5300,1-617-625-5930,-71.08477,42.394494
La Quinta Inn & Suites Boutte,"14221 Highway 90,
Boutte, LA 70039",1-985-758-7800,1-985-306-0357,-90.412395,29.889892
La Quinta Inn & Suites Bowling Green,"1953 Mel Browning St,
Bowling Green, KY 42104",1-270-783-0083,1-270-783-0085,-86.418253000000007,36.930559
La Quinta Inn & Suites Bozeman,"620 Nikles Dr,
Bozeman, MT 59715",1-406-585-9300,1-406-585-2900,-111.045599,45.698645
La Quinta Inn & Suites Brandon Jackson Airport E,"215 Dande Rd,
Brandon, MS 39042",1-601-591-1045,1-601-591-1088,-90.035571,32.276105
La Quinta Inn & Suites Brenham,"2950 Wood Ridge Blvd,
Brenham, TX 77833",1-979-836-5551,1-979-836-8324,-96.395518,30.137301
La Quinta Inn & Suites Bridge City,"108 Texas Ave,
Bridge City, TX 77611",1-409-735-2221,1-409-735-2224,-93.849335,30.017066
La Quinta Inn & Suites Bridgeport,"2000 10th St,
Bridgeport, TX 76426",1-940-683-2040,1-940-683-5671,-97.756935,33.221609
La Quinta Inn & Suites Tulsa Broken Arrow,"451 W Albany St,
Broken Arrow, OK 74012",1-918-615-3400,1-918-615-3401,-95.795626,36.074951
La Quinta Inn & Suites Brooklyn Central,"1229 Atlantic Ave.,
Brooklyn, NY 11216",1-718-925-4313,1-718-925-4314,-73.950257,40.678809
La Quinta Inn & Suites Brooklyn Downtown,"533 3rd Ave,
Brooklyn, NY 11215",1-718-832-4747,1-718-832-4749,-73.99303,40.669041
La Quinta Inn & Suites Brooklyn East,"1412 Pitkin Ave,
Brooklyn, NY 11233",1-718-735-0915,1-718-735-0916,-73.921544,40.668313
La Quinta Inn & Suites Brookshire,"721 FM 1489,
Brookshire, TX 77423",1-281-375-8888,1-281-375-8892,-95.966842,29.777448
La Quinta Inn & Suites Broussard - Lafayette Area,"104 Sweetland Avenue,
Broussard, LA 70518",1-337-330-8081,1-337-330-8140,-91.948915,30.143272
La Quinta Inn & Suites Brownsville North,"5051 North Expressway,
Brownsville, TX 78520",1-956-350-2118,1-956-350-2122,-97.519053,25.979766
La Quinta Inn & Suites Brownwood,"103 Market Place Blvd,
Brownwood, TX 76801",1-325-641-1731,1-325-641-1732,-98.978984,31.730065
La Quinta Inn & Suites Brunswick,"165 Warren Mason Blvd,
Brunswick, GA 31520",1-912-265-7725,1-912-264-6151,-81.523385,31.217181
La Quinta Inn & Suites Buena Park,"3 Centerpointe Dr,
La Palma, CA 90623",1-714-670-1400,1-714-522-4698,-118.031399,33.860411
La Quinta Inn Buffalo Airport,"6619 Transit Rd,
Williamsville, NY 14221",1-716-633-1011,1-716-633-2579,-78.69662,42.9479
La Quinta Inn & Suites Burleson,"225 East Alsbury Blvd,
Burleson, TX 76028",1-817-447-6565,1-817-447-2336,-97.316203,32.563868
La Quinta Inn & Suites Butte,"1 Holiday Park Drive,
Butte, MT 59701",1-406-494-6999,1-406-494-1300,-112.502603,45.98376
La Quinta Inn Caldwell,"901 Specht Ave,
Caldwell, ID 83605",1-208-454-2222,1-208-454-9334,-116.6616,43.661903
La Quinta Inn Calhoun,"150 Cracker Barrel Dr,
Calhoun, GA 30701",1-706-629-2559,1-706-629,-84.915397,34.470756
LQ Hotel by La Quinta Cancun,"Av. Tulum Mza. 14 S.M. 4 Lote 2 ,
Cancun, QR 77500",52-998-8729400,52-998-8729401,-86.824616,21.151911
La Quinta Inn & Suites Canton,"152 Soldiers Colony Rd,
Canton, MS 39046",1-601-855-2121,1-601-855-2494,-90.068155,32.601797
La Quinta Inn & Suites Canton,"5335 Broadmoor Circle Northwest,
Canton, OH 44709",1-330-492-0151,1-330-492-7523,-81.417823,40.857813
La Quinta Inn & Suites DC Metro Capitol Beltway,"55 Hampton Park Blvd,
Capitol Heights, MD 20743",1-301-336-8900,1-301-336-6419,-76.853506,38.888787
La Quinta Inn & Suites Carlsbad,"4020 National Parks Highway,
Carlsbad, NM 88220",1-575-236-1010,1-575-236-1013,-104.231304,32.372932
La Quinta Inn Casper,"400 West F St,
Casper, WY 82601",1-307-265-1200,1-307-265-5522,-106.33081,42.857451
La Quinta Inn & Suites Castle Rock,"884 Park St.,
Castle Rock, CO 80109",1-303-660-2230,1-303-660-2270,-104.865564,39.379098
LQ Hotel by La Quinta Cd Juarez Near US Consulate,"Ejercito Nacional 8211, Col
Partido Iglesias
Juarez, CH 32528",011-52-6566482525,011-52-656648-0101,-106.410146,31.69713
La Quinta Inn & Suites Cedar City,"1377 South Main Street,
Cedar City, UT 84720",1-435-865-0005,1-435-865-0006,-113.078844,37.653952
La Quinta Inn & Suites Cedar Hill,"1419 N.US Hwy 67,
Cedar Hill, TX 75104",1-972-291-0008,1-972-637-1099,-96.91822,32.616565
La Quinta Inn & Suites Cedar Rapids,"1220 Park Place NE,
Cedar Rapids, IA 52402",1-319-378-8000,1-319-378-8080,-91.653626,42.030827
La Quinta Inn & Suites Central Point - Medford,"1777 LaRue Dr.,
Central Point, OR 97502",1-541-665-4141,1-541-664-3390,-122.901017,42.377109
La Quinta Inn & Suites Chambersburg,"199 Walker Rd,
Chambersburg, PA 17201",1-717-446-0770,1-717-446-0720,-77.633376,39.932577
La Quinta Inn Champaign,"1900 Center Dr,
Champaign, IL 61820-7821",1-217-356-4000,1-217-352-7783,-88.244699,40.138506
La Quinta Inn & Suites Charleston Riverview,"11 Ashley Pointe Dr,
Charleston, SC 29407",1-843-556-5200,1-843-556-7126,-79.962519,32.776676
La Quinta Inn & Suites Charlotte Airport North,"3127 Sloan Dr,
Charlotte, NC 28208",1-704-392-1600,1-704-392-7952,-80.920878,35.240873
La Quinta Inn & Suites Charlotte Airport South,"4900 South Tryon St,
Charlotte, NC 28217",1-704-523-5599,1-704-523-5156,-80.891167,35.178952
La Quinta Inn & Suites Charlottesville-UVA Medical,"1803 Emmet St N,
Charlottesville, VA 22901",1-434-293-6188,1-434-282-2059,-78.494269,38.060571
La Quinta Inn & Suites Chattanooga - East Ridge,"6650 Ringgold Rd.,
East Ridge, TN 37412",1-423-760-3120,1-423-551-8194,-85.200638,34.989669
La Quinta Inn Chattanooga / Hamilton Place,"7017 Shallowford Rd,
Chattanooga, TN 37421",1-423-855-0011,1-423-499-5409,-85.158114,35.044501
