"name";"rotation_period";"orbital_period";"diameter";"climate";"gravity";"terrain";"surface_water";"population";"edited"
"Alderaan";"24";"364";"12500";"temperate";"1 standard";"grasslands, mountains";"40";"2000000000";"2014-12-20T20:58:18.420000Z"
"Yavin IV";"24";"4818";"10200";"temperate, tropical";"1 standard";"jungle, rainforests";"8";"1000";"2014-12-21T20:58:18.421000Z"
"Hoth";"23";"549";"7200";"frozen";"1.1 standard";"tundra, ice caves, mountain ranges";"100";"unknown";"2014-12-22T20:58:18.423000Z"
"Dagobah";"23";"341";"8900";"murky";"N/A";"swamp, jungles";"8";"unknown";"2014-12-23T20:58:18.425000Z"
"Bespin";"12";"5110";"118000";"temperate";"1.5 (surface), 1 standard (Cloud City)";"gas giant";"0";"6000000";"2014-12-24T20:58:18.427000Z"
"Endor";"18";"402";"4900";"temperate";"0.85 standard";"forests, mountains, lakes";"8";"30000000";"2014-12-25T20:58:18.429000Z"
"Naboo";"26";"312";"12120";"temperate";"1 standard";"grassy hills, swamps, forests, mountains";"12";"4500000000";"2014-12-26T20:58:18.430000Z"
"Coruscant";"24";"368";"12240";"temperate";"1 standard";"cityscape, mountains";"unknown";"1000000000000";"2014-12-27T20:58:18.432000Z"
"Kamino";"27";"463";"19720";"temperate";"1 standard";"ocean";"100";"1000000000";"2014-12-28T20:58:18.434000Z"
"Geonosis";"30";"256";"11370";"temperate, arid";"0.9 standard";"rock, desert, mountain, barren";"5";"100000000000";"2014-12-29T20:58:18.437000Z"
